tenure_months,tenure_segmentation,location,device_class,games_product,music_product,education_product,video_product,any_digital_product,all_digital_product,total_digital_product_used,call_center,use_myapp,total_product_utilisation,payment_method,monthly_purchase_thou_idr_,cltv_predicted_thou_idr_,total_spending,net_cltv_total_spending
59,high,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,111.2,8190.0,6560.0,1634.0
60,high,Bandung,Mid End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,66.06,6424.0,3962.0,2460.0
15,high,Bandung,High End,Yes,No,Yes,Yes,1,0,3,Yes,Yes,5,Pulsa,136.6,2758.0,2050.0,709.0
10,medium,Bandung,High End,Yes,Yes,Yes,Yes,1,1,4,Yes,Yes,6,Pulsa,143.1,7544.0,1431.0,6110.0
6,medium,Bandung,High End,No,No,Yes,No,1,0,1,No,Yes,2,Pulsa,109.06,5150.0,654.5,4496.0
63,high,Bandung,High End,Yes,Yes,Yes,Yes,1,1,4,No,No,4,Pulsa,130.8,7036.0,8230.0,-1198.0
50,high,Bandung,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Debit,135.0,7556.0,6750.0,805.5
1,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,31.98,7500.0,31.98,7468.0
12,high,Bandung,High End,Yes,No,No,Yes,1,0,2,Yes,Yes,4,Debit,128.6,7228.0,1543.0,5684.0
9,medium,Bandung,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Credit,127.8,3840.0,1150.0,2690.0
17,high,Bandung,High End,Yes,No,No,Yes,1,0,2,No,Yes,3,Pulsa,122.0,6424.0,2074.0,4348.0
9,medium,Bandung,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,130.6,5250.0,1176.0,4074.0
10,medium,Bandung,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,94.7,4144.0,947.0,3198.0
1,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,95.6,5680.0,95.6,5584.0
3,low,Bandung,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,103.25,4550.0,309.8,4240.0
13,high,Bandung,High End,No,Yes,Yes,No,1,0,2,No,No,2,Pulsa,105.5,6250.0,1371.0,4876.0
4,medium,Bandung,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,110.0,3208.0,440.0,2768.0
6,medium,Bandung,High End,Yes,No,No,No,1,0,1,No,No,1,Pulsa,102.75,4240.0,616.5,3626.0
3,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Debit,96.75,2670.0,290.2,2380.0
35,high,Bandung,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,128.8,2696.0,4508.0,-1811.0
2,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,58.44,7670.0,116.9,7550.0
1,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Credit,58.12,4810.0,58.12,4750.0
1,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,59.4,4644.0,59.4,4584.0
8,medium,Bandung,High End,Yes,No,No,Yes,1,0,2,Yes,Yes,4,Credit,130.4,6610.0,1043.0,5570.0
7,medium,Bandung,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Pulsa,25.03,5836.0,175.1,5660.0
2,low,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,124.8,4410.0,249.6,4160.0
1,low,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,117.7,3416.0,117.7,3298.0
44,high,Bandung,Mid End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,39.47,6276.0,1736.0,4540.0
71,high,Bandung,High End,Yes,No,Yes,Yes,1,0,3,Yes,Yes,5,Pulsa,140.5,6760.0,9976.0,-3214.0
1,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,90.9,6976.0,90.9,6890.0
62,high,Bandung,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,134.9,6570.0,8360.0,-1795.0
1,low,Bandung,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,112.56,6796.0,112.56,6684.0
33,high,Bandung,High End,No,Yes,No,No,1,0,1,No,No,1,Debit,104.75,4680.0,3458.0,1224.0
35,high,Bandung,High End,No,Yes,No,No,1,0,1,Yes,No,2,Credit,110.9,3192.0,3882.0,-689.5
34,high,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Credit,91.0,3014.0,3094.0,-80.6
4,medium,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,122.56,7044.0,490.2,6556.0
7,medium,Bandung,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,123.94,4000.0,867.5,3132.0
27,high,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,98.1,3090.0,2650.0,440.0
18,high,Bandung,High End,No,No,No,No,0,0,0,Yes,Yes,2,Pulsa,117.1,5536.0,2108.0,3430.0
2,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,89.6,6790.0,179.2,6612.0
32,high,Bandung,High End,Yes,No,No,Yes,1,0,2,No,Yes,3,Credit,129.4,6532.0,4140.0,2392.0
18,high,Bandung,Mid End,No,No,Yes,No,1,0,1,No,Yes,2,Pulsa,74.7,3886.0,1344.0,2542.0
12,high,Bandung,Mid End,No,No,No,No,0,0,0,No,Yes,1,Credit,69.75,3374.0,837.0,2536.0
8,medium,Bandung,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,130.8,7676.0,1046.0,6630.0
26,high,Bandung,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,108.9,3126.0,2830.0,294.5
3,low,Bandung,High End,Yes,No,No,Yes,1,0,2,Yes,No,3,Digital Wallet,114.8,5830.0,344.2,5490.0
8,medium,Bandung,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,119.75,7360.0,958.0,6404.0
38,high,Bandung,High End,Yes,Yes,No,No,1,0,2,No,No,2,Pulsa,103.3,3126.0,3924.0,-798.5
14,high,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Credit,117.56,6212.0,1646.0,4564.0
32,high,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Debit,90.7,3062.0,2902.0,161.2
1,low,Bandung,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.55,7644.0,25.55,7620.0
12,high,Bandung,Mid End,No,No,Yes,No,1,0,1,Yes,Yes,3,Pulsa,56.75,3168.0,681.0,2488.0
5,medium,Bandung,Mid End,No,No,Yes,No,1,0,1,No,Yes,2,Pulsa,51.34,3722.0,256.8,3466.0
40,high,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Debit,126.25,4028.0,5050.0,-1020.5
5,medium,Bandung,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,104.0,5120.0,520.0,4600.0
10,medium,Bandung,High End,Yes,No,No,Yes,1,0,2,No,No,2,Digital Wallet,110.1,7390.0,1101.0,6292.0
2,low,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Debit,116.44,5010.0,232.9,4772.0
23,high,Bandung,High End,No,No,No,Yes,1,0,1,Yes,No,2,Pulsa,117.75,5668.0,2708.0,2958.0
23,high,Bandung,High End,Yes,No,No,Yes,1,0,2,No,No,2,Debit,117.06,6044.0,2692.0,3352.0
49,high,Bandung,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Debit,128.8,6704.0,6308.0,394.5
2,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Debit,90.7,7370.0,181.4,7184.0
2,low,Bandung,Mid End,No,Yes,No,No,1,0,1,No,No,1,Credit,63.75,3848.0,127.5,3720.0
7,medium,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Debit,127.44,3330.0,892.5,2438.0
41,high,Jakarta,High End,Yes,Yes,Yes,Yes,1,1,4,Yes,Yes,6,Debit,148.9,3950.0,6104.0,-2154.0
2,low,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,105.25,4590.0,210.5,4384.0
13,high,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Pulsa,96.56,3894.0,1256.0,2638.0
11,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Debit,116.6,2862.0,1283.0,1580.0
17,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Credit,130.6,7160.0,2220.0,4940.0
25,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,117.5,7540.0,2938.0,4604.0
3,low,Jakarta,Mid End,No,Yes,Yes,No,1,0,2,No,No,2,Digital Wallet,73.0,3300.0,219.0,3082.0
4,medium,Jakarta,High End,Yes,No,Yes,No,1,0,2,Yes,Yes,4,Debit,122.75,5524.0,491.0,5030.0
37,high,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Credit,102.6,5176.0,3798.0,1379.0
19,high,Jakarta,Mid End,No,No,No,Yes,1,0,1,No,Yes,2,Credit,58.3,6736.0,1108.0,5628.0
39,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,137.4,6092.0,5356.0,736.5
7,medium,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Digital Wallet,97.06,4332.0,679.5,3650.0
14,high,Jakarta,Mid End,Yes,No,No,Yes,1,0,2,No,No,2,Debit,84.1,5264.0,1178.0,4086.0
11,medium,Jakarta,High End,No,No,Yes,Yes,1,0,2,Yes,Yes,4,Debit,135.2,5920.0,1488.0,4430.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,46.22,5144.0,46.22,5100.0
2,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,123.7,3138.0,247.4,2890.0
13,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Digital Wallet,125.6,6884.0,1633.0,5252.0
3,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,104.5,4984.0,313.5,4670.0
1,low,Jakarta,Mid End,No,Yes,No,No,1,0,1,No,No,1,Digital Wallet,40.75,4690.0,40.75,4644.0
12,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,No,2,Debit,116.7,7372.0,1400.0,5972.0
60,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,122.75,6490.0,7364.0,-876.0
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Pulsa,25.81,5036.0,25.81,5012.0
6,medium,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,Yes,Yes,5,Credit,142.9,7476.0,857.0,6616.0
15,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,Yes,Yes,4,Pulsa,131.8,3932.0,1976.0,1956.0
21,high,Jakarta,Mid End,No,No,Yes,Yes,1,0,2,No,No,2,Debit,78.06,6132.0,1639.0,4492.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,78.2,5996.0,78.2,5916.0
7,medium,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,No,2,Pulsa,117.56,6964.0,823.0,6140.0
53,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Debit,122.5,7040.0,6492.0,544.5
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,97.4,3312.0,97.4,3216.0
1,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,104.3,3252.0,104.3,3148.0
17,high,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,89.7,4380.0,1525.0,2854.0
11,medium,Jakarta,Mid End,No,No,No,No,0,0,0,Yes,Yes,2,Pulsa,86.25,3718.0,949.0,2770.0
19,high,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Debit,111.8,6316.0,2124.0,4188.0
3,low,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,104.4,4176.0,313.2,3862.0
24,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,No,2,Credit,117.7,7704.0,2826.0,4880.0
2,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,98.7,2732.0,197.4,2534.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,59.6,4816.0,59.6,4760.0
16,high,Jakarta,Mid End,No,No,No,Yes,1,0,1,Yes,Yes,3,Pulsa,64.94,6292.0,1039.0,5252.0
34,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,101.8,3610.0,3460.0,149.2
3,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,100.06,5756.0,300.0,5456.0
16,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,125.0,7690.0,2000.0,5690.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,58.88,5940.0,58.88,5880.0
15,high,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Debit,25.22,6990.0,378.2,6616.0
11,medium,Jakarta,High End,No,No,No,Yes,1,0,1,Yes,No,2,Pulsa,117.2,6824.0,1289.0,5536.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,58.56,5324.0,58.56,5264.0
1,low,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,98.56,5120.0,98.56,5024.0
7,medium,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,103.06,4980.0,721.5,4256.0
2,low,Jakarta,Mid End,No,No,No,No,0,0,0,Yes,No,1,Pulsa,40.16,3718.0,80.3,3638.0
46,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Credit,123.8,4136.0,5696.0,-1562.0
68,high,Jakarta,High End,No,Yes,No,No,1,0,1,No,Yes,2,Debit,116.5,7348.0,7920.0,-574.5
59,high,Jakarta,High End,Yes,Yes,Yes,Yes,1,1,4,No,Yes,5,Pulsa,143.2,5980.0,8450.0,-2468.0
7,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,116.4,4000.0,814.5,3186.0
8,medium,Jakarta,High End,Yes,No,No,No,1,0,1,No,No,1,Pulsa,97.5,3364.0,780.0,2584.0
6,medium,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,58.2,2714.0,349.0,2364.0
11,medium,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,57.25,4160.0,630.0,3530.0
15,high,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Debit,111.25,6476.0,1669.0,4810.0
70,high,Jakarta,High End,Yes,Yes,Yes,Yes,1,1,4,Yes,Yes,6,Credit,150.2,6290.0,10510.0,-4224.0
16,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,112.56,3260.0,1801.0,1459.0
18,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,110.75,4324.0,1994.0,2330.0
34,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,126.94,5172.0,4316.0,856.5
47,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,Yes,Yes,5,Pulsa,142.4,7620.0,6692.0,928.5
39,high,Jakarta,High End,No,Yes,Yes,No,1,0,2,Yes,No,3,Pulsa,116.44,5004.0,4540.0,463.5
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.28,7390.0,25.28,7370.0
4,medium,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,26.45,5372.0,105.8,5268.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,90.0,5684.0,90.0,5590.0
59,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Debit,129.4,7930.0,7630.0,295.8
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,32.75,7396.0,32.75,7360.0
2,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,58.5,7416.0,117.0,7300.0
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,26.19,5332.0,26.19,5308.0
66,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Credit,136.5,7440.0,9010.0,-1569.0
3,low,Jakarta,Mid End,No,No,No,Yes,1,0,1,No,No,1,Credit,71.1,4336.0,213.4,4124.0
14,high,Jakarta,High End,No,No,Yes,No,1,0,1,No,Yes,2,Pulsa,113.44,6220.0,1588.0,4630.0
10,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,103.94,7332.0,1039.0,6292.0
18,high,Jakarta,High End,No,No,No,Yes,1,0,1,Yes,No,2,Pulsa,114.9,7444.0,2068.0,5376.0
9,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,123.2,3760.0,1109.0,2652.0
13,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,123.56,2900.0,1606.0,1293.0
4,medium,Jakarta,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,102.0,6564.0,408.0,6156.0
4,medium,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,91.25,6624.0,365.0,6256.0
59,high,Jakarta,Mid End,No,Yes,No,No,1,0,1,No,Yes,2,Debit,53.38,5620.0,3148.0,2472.0
10,medium,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,111.25,6690.0,1113.0,5576.0
1,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,102.94,5670.0,102.94,5570.0
5,medium,Jakarta,Mid End,No,No,Yes,Yes,1,0,2,No,Yes,3,Digital Wallet,91.0,3474.0,455.0,3020.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Debit,64.94,2654.0,64.94,2588.0
22,high,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,90.0,2806.0,1981.0,826.0
34,high,Jakarta,High End,No,Yes,Yes,No,1,0,2,No,Yes,3,Pulsa,122.5,4380.0,4164.0,213.9
41,high,Jakarta,Mid End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,94.9,2654.0,3890.0,-1238.0
64,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Credit,130.1,7090.0,8330.0,-1237.0
4,medium,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Credit,129.8,2948.0,519.0,2430.0
18,high,Jakarta,Mid End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,45.5,3444.0,819.0,2624.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,98.8,3338.0,98.8,3238.0
2,low,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,122.0,5452.0,244.0,5210.0
15,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,No,2,Pulsa,109.56,5204.0,1644.0,3560.0
9,medium,Jakarta,High End,No,No,No,No,0,0,0,No,Yes,1,Credit,109.75,7468.0,987.5,6480.0
15,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,131.4,2672.0,1971.0,700.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,65.56,3806.0,65.56,3740.0
12,high,Jakarta,High End,No,No,No,Yes,1,0,1,Yes,Yes,3,Digital Wallet,129.9,7276.0,1559.0,5720.0
2,low,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,No,2,Pulsa,118.8,6630.0,237.6,6390.0
5,medium,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Credit,98.2,5236.0,491.0,4744.0
4,medium,Jakarta,High End,No,No,No,No,0,0,0,Yes,No,1,Credit,105.06,7068.0,420.2,6650.0
16,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,130.0,4932.0,2080.0,2852.0
1,low,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Pulsa,26.72,7330.0,26.72,7300.0
5,medium,Jakarta,High End,No,Yes,Yes,No,1,0,2,No,No,2,Pulsa,110.9,2944.0,554.5,2388.0
4,medium,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,91.5,5844.0,366.0,5476.0
37,high,Jakarta,High End,No,No,No,Yes,1,0,1,Yes,Yes,3,Debit,128.5,3986.0,4750.0,-766.5
13,high,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Credit,96.75,4790.0,1257.0,3536.0
24,high,Jakarta,High End,No,No,Yes,Yes,1,0,2,No,Yes,3,Pulsa,128.4,5220.0,3080.0,2140.0
61,high,Jakarta,High End,Yes,Yes,No,Yes,1,0,3,No,Yes,4,Pulsa,137.8,5636.0,8410.0,-2772.0
41,high,Jakarta,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,136.1,4310.0,5580.0,-1270.0
22,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,125.7,5796.0,2766.0,3030.0
2,low,Jakarta,Mid End,No,Yes,No,No,1,0,1,Yes,No,2,Credit,71.56,7612.0,143.1,7468.0
19,high,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,No,2,Pulsa,114.7,7388.0,2178.0,5210.0
8,medium,Jakarta,Low End,No internet service,No internet service,No internet service,No internet service,0,0,0,No,No internet service,0,Digital Wallet,25.67,2922.0,205.4,2716.0
15,high,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,98.4,2728.0,1475.0,1254.0
1,low,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,97.1,4350.0,97.1,4256.0
17,high,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Pulsa,99.6,4136.0,1694.0,2442.0
1,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,33.53,5050.0,33.53,5016.0
2,low,Jakarta,Mid End,Yes,Yes,No,No,1,0,2,No,Yes,3,Pulsa,55.38,6044.0,110.75,5932.0
29,high,Jakarta,Mid End,Yes,Yes,Yes,No,1,0,3,No,Yes,4,Debit,89.5,7084.0,2596.0,4490.0
2,low,Jakarta,High End,No,No,Yes,No,1,0,1,Yes,Yes,3,Credit,117.0,5070.0,234.0,4840.0
14,high,Jakarta,High End,No,No,Yes,No,1,0,1,No,No,1,Pulsa,97.94,6492.0,1371.0,5124.0
8,medium,Jakarta,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,131.1,5004.0,1049.0,3954.0
5,medium,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,90.94,3860.0,454.8,3406.0
63,high,Bandung,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,139.8,7988.0,8810.0,-817.0
1,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,59.6,7708.0,59.6,7650.0
53,high,Bandung,High End,Yes,Yes,Yes,Yes,1,1,4,No,Yes,5,Debit,137.9,5812.0,7310.0,-1498.0
1,low,Bandung,High End,No,Yes,No,Yes,1,0,2,Yes,No,3,Pulsa,119.2,5616.0,119.2,5496.0
16,high,Bandung,High End,No,Yes,Yes,No,1,0,2,No,Yes,3,Credit,124.25,7690.0,1988.0,5700.0
1,low,Bandung,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,97.44,3368.0,97.44,3270.0
10,medium,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,123.94,6960.0,1240.0,5720.0
3,low,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,58.5,5388.0,175.5,5212.0
66,high,Bandung,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Pulsa,129.4,5200.0,8536.0,-3336.0
17,high,Bandung,High End,No,No,Yes,Yes,1,0,2,Yes,Yes,4,Debit,128.1,6708.0,2180.0,4530.0
7,medium,Bandung,Mid End,No,No,No,Yes,1,0,1,Yes,No,2,Digital Wallet,77.4,6060.0,541.5,5516.0
12,high,Bandung,High End,No,No,No,No,0,0,0,No,Yes,1,Pulsa,104.56,6988.0,1255.0,5732.0
42,high,Bandung,High End,No,No,No,Yes,1,0,1,No,No,1,Credit,101.3,7016.0,4256.0,2758.0
2,low,Bandung,High End,No,Yes,No,No,1,0,1,No,No,1,Pulsa,97.1,3644.0,194.2,3450.0
1,low,Bandung,High End,No,No,Yes,Yes,1,0,2,No,No,2,Pulsa,115.44,4038.0,115.44,3922.0
30,high,Bandung,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,117.3,7350.0,3520.0,3830.0
15,high,Bandung,Mid End,Yes,No,No,No,1,0,1,No,Yes,2,Debit,84.06,6216.0,1261.0,4950.0
13,high,Bandung,High End,No,Yes,No,No,1,0,1,Yes,Yes,3,Debit,115.75,5020.0,1505.0,3514.0
67,high,Bandung,High End,No,Yes,Yes,No,1,0,2,No,No,2,Pulsa,113.6,5748.0,7612.0,-1865.0
23,high,Bandung,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,123.2,3562.0,2834.0,729.0
35,high,Bandung,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,112.4,7636.0,3934.0,3702.0
56,high,Bandung,High End,No,Yes,No,Yes,1,0,2,No,Yes,3,Pulsa,127.75,6350.0,7150.0,-801.0
9,medium,Bandung,High End,No,No,Yes,No,1,0,1,No,No,1,Debit,98.5,6636.0,886.5,5750.0
17,high,Bandung,High End,Yes,No,Yes,No,1,0,2,No,No,2,Debit,110.94,4172.0,1886.0,2286.0
48,high,Bandung,High End,No,Yes,Yes,Yes,1,0,3,No,Yes,4,Credit,137.9,7668.0,6620.0,1047.0
17,high,Bandung,Mid End,No,No,No,No,0,0,0,No,No,0,Pulsa,58.56,4936.0,995.5,3940.0
34,high,Bandung,High End,Yes,Yes,Yes,Yes,1,1,4,No,Yes,5,Digital Wallet,142.8,4430.0,4852.0,-420.2
42,high,Bandung,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,110.06,6332.0,4620.0,1710.0
11,medium,Bandung,High End,No,No,No,Yes,1,0,1,No,No,1,Debit,103.4,4508.0,1137.0,3372.0
1,low,Bandung,High End,No,No,No,No,0,0,0,No,Yes,1,Digital Wallet,111.56,3704.0,111.56,3594.0
1,low,Bandung,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,102.8,6500.0,102.8,6400.0
3,low,Jakarta,Mid End,No,No,No,No,0,0,0,No,No,0,Digital Wallet,57.6,6372.0,172.8,6200.0
50,high,Jakarta,High End,Yes,No,Yes,Yes,1,0,3,No,Yes,4,Credit,137.8,7196.0,6890.0,310.0
5,medium,Jakarta,High End,No,No,No,No,0,0,0,No,No,0,Pulsa,90.7,5156.0,453.5,4700.0
51,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Pulsa,123.06,6172.0,6276.0,-104.2
46,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,Yes,2,Debit,124.9,3526.0,5744.0,-2218.0
1,low,Jakarta,Mid End,No,No,Yes,No,1,0,1,No,No,1,Digital Wallet,65.2,4468.0,65.2,4404.0
41,high,Jakarta,High End,Yes,Yes,Yes,Yes,1,1,4,Yes,Yes,6,Debit,147.6,6452.0,6056.0,397.0
29,high,Jakarta,High End,No,No,No,Yes,1,0,1,No,No,1,Pulsa,102.56,4224.0,2974.0,1249.0
